url,Value_1,Number,Addr,Email,website
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kulo Ram Singh",232537,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"L. D. Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Lalit Prasad Pant",263484,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Lalit Sharma",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Laxman Singh Kera",238261,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"M. C. Pathak",223665,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Madan Mohan Tewari",222037,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Madan Mohan Pandey",266933,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Magat Tewari",244036,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Mahendra Singh Dharyal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Mahendra Pratap Singh",238683,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Naveen Chand",268515,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Naveen Chand Chandola",245050,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Naveen Chand Balutia",280807,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Naveen Chand Joshi",254435,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Naveen Chand Paneru",225418,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Nirmal Kumar Thapa",266654,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Nirmal Sandhu",221568,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Omkar Goswami",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"P. K. Malik",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Pankaj Goyal",9837119263,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Pankaj Suyal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Param Jeet Singh",266766,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Param Jeet Sani",9412016149,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Prem Chandra Pathak",267381,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Prem Ballabh Suyal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Prithvipal Singh Rawat",NULL,NULL,NULL,NULL
